DATE,ALAL,ALDE,ARTR,BRTE,CETE,DEPI,DF,DG,DS,ELEL,HAGL,L,LEPE,NONE,OTHER,W,WL,litter
2015,0.3586206896551724,0.0,3.206896551724138,6.73103448275862,0.020689655172413793,0.1586206896551724,0.1724137931034483,0.0,0.2,1.862068965517241,1.1724137931034484,0.0,0.10344827586206896,85.77931034482759,0.23448275862068968,0.0,0.0,0.0
2016,0.48233695652173914,0.0,2.452445652173913,6.474184782608695,1.3383152173913044,0.16304347826086957,0.48233695652173914,0.7065217391304348,0.794836956521739,1.8953804347826089,1.283967391304348,0.020380434782608696,0.43478260869565216,83.36956521739131,0.04076086956521739,0.0,0.061141304347826095,0.0
2017,0.36684782608695654,0.0,2.907608695652174,7.642663043478261,4.904891304347826,0.33967391304347827,0.794836956521739,0.9918478260869565,0.6521739130434783,2.1127717391304346,0.01358695652173913,1.2296195652173914,1.1141304347826086,76.65760869565217,0.10869565217391304,0.0,0.16304347826086957,0.0
2018,0.49592391304347827,0.0,3.288043478260869,6.25,0.6046195652173912,0.0,0.421195652173913,1.875,0.48913043478260876,2.6630434782608696,0.01358695652173913,0.4483695652173913,0.25815217391304346,82.97554347826087,0.08152173913043478,0.07472826086956522,0.061141304347826095,0.0
2019,1.514945652173913,0.0,2.9551630434782608,9.116847826086955,7.914402173913043,0.421195652173913,0.02717391304347826,0.4144021739130435,0.7540760869565217,3.5665760869565215,0.006793478260869565,0.5502717391304348,0.8559782608695652,71.4741847826087,0.04076086956521739,0.3736413043478261,0.01358695652173913,0.0
2020,0.33967391304347827,0.0,2.873641304347826,1.528532608695652,1.1209239130434783,0.033967391304347824,1.7866847826086958,7.038043478260869,0.8899456521739131,1.5353260869565217,0.006793478260869565,0.06793478260869565,0.5095108695652174,81.68478260869566,0.23097826086956522,0.006793478260869565,0.34646739130434784,0.0
2021,0.0,0.0,3.3016304347826084,0.01358695652173913,0.0,0.0,1.127717391304348,3.770380434782609,0.8831521739130435,0.6929347826086957,0.0,0.01358695652173913,0.0,90.12907608695652,0.006793478260869565,0.05434782608695652,0.006793478260869565,0.0
2022,1.9044321329639888,0.0,2.527700831024931,8.933518005540165,2.6662049861495842,0.13850415512465375,0.20775623268698062,0.13850415512465375,0.5886426592797784,0.554016620498615,0.0,0.17313019390581716,0.0,81.40581717451524,0.3462603878116343,0.0,0.10387811634349031,0.31163434903047094
2023,1.875,0.0,2.7430555555555554,9.444444444444445,6.076388888888888,0.06944444444444445,0.0,0.0,0.0,0.6597222222222222,0.0,6.527777777777779,0.0,68.99305555555556,0.9375,0.0,0.0,2.673611111111111
2024,0.0,2.2916666666666665,3.2638888888888893,10.48611111111111,6.527777777777779,0.3819444444444444,0.0,0.0,0.0,0.9375,0.06944444444444445,0.0,0.20833333333333334,74.47916666666666,1.3541666666666667,0.0,0.0,0.0
